1/31/2018 13:57,3/11/2018 22:59,543,Facebook,Temporary Redirect,37,95025
11/29/2017 0:44,3/11/2018 22:45,28,My Drive - Google Drive,Link,39,30912
2/23/2018 20:52,3/11/2018 14:30,16,localhost / 127.0.0.1 | phpMyAdmin 4.3.11,Permanent Redirect,28,13232
1/7/2018 1:11,3/11/2018 20:11,22,YouTube,Permanent Redirect,24,12375
11/27/2017 1:36,3/11/2018 14:18,22,OpenShift Web Console,Link,82,9830
10/31/2017 22:42,3/3/2018 2:25,20,OpenShift Web Console,Temporary Redirect,59,9570
3/2/2018 21:48,3/11/2018 15:06,5,DalerORG,Link,17,6270
1/31/2018 14:26,3/11/2018 15:45,11,Home,Link,73,5955
10/15/2017 18:58,3/6/2018 12:42,22,Home,Temporary Redirect,65,5898
1/18/2018 23:56,3/8/2018 21:35,24,shawon100 (Ashadullah Shawon),Link,28,5539
3/6/2018 19:31,3/7/2018 11:35,4,Laxmicoin® : India's 1st digital currency,Link,61,5513
9/1/2017 9:42,3/3/2018 2:35,21,Rajshahi University of Engineering & Technology - RUET,Permanent Redirect,22,5334
3/1/2018 22:52,3/2/2018 12:36,6,Coursera | Online Courses From Top Universities. Join for Free | Coursera,Link,49,5016
2/19/2018 20:24,2/20/2018 19:19,6,EmergencyLinc,Permanent Redirect,28,4705
9/14/2017 12:00,2/4/2018 0:11,20,"Online Courses - Anytime, Anywhere | Udemy",Link,47,4626
11/22/2017 20:03,3/4/2018 0:39,22,shawon100/RUET-OJ: Open Source Online Judge Platform Of Bangladesh .,Link,36,4440
9/30/2017 23:50,3/4/2018 1:53,11,Datasets | Kaggle,Link,31,4176
3/3/2018 21:59,3/5/2018 21:46,3,?????? · ????? ???????,Temporary Redirect,21,3866
11/18/2017 15:32,3/7/2018 22:58,5,Google Drive,Temporary Redirect,31,3708
3/6/2018 19:18,3/7/2018 1:12,3,"Installing TensorFlow, Keras, and Python in Windows - YouTube",Link,43,3706
2/12/2018 13:11,2/18/2018 3:30,5,How to create crud in laravel 5.5 Part:03 Create or Insert (Bangla) - YouTube,Link,91,3317
2/28/2018 11:43,3/1/2018 16:27,3,Explore the baseball data | Python,Link,90,3183
2/25/2018 1:01,3/2/2018 15:36,6,HackerRank,Temporary Redirect,65,2980
2/7/2018 3:21,3/9/2018 12:27,3,Google Drive - Virus scan warning,Temporary Redirect,80,2880
2/19/2018 1:46,2/19/2018 1:46,2,Index of /map,Permanent Redirect,21,2735
11/25/2017 18:18,2/1/2018 3:00,8,Free Youtube Video Downloader,Temporary Redirect,25,2688
2/15/2018 21:01,2/16/2018 0:57,4,MekTek Advanced Training Session - 03,Link,129,2663
2/4/2018 14:10,3/10/2018 19:52,4,"BAN 513, 307/5 (100.0 Ovs) vs SL 713/9 decl (Mahmudullah 28(65) Mosaddek Hossain 8(53) ) | Bangladesh vs Sri Lanka, 1st Test - Live Score, Commentary - Cricbuzz",Link,102,2594
11/7/2017 15:04,2/18/2018 2:08,20,Sign In,Temporary Redirect,74,2301
2/7/2018 2:29,2/25/2018 23:05,12,Semester Final Vs You Based on Justice League - YouTube,Temporary Redirect,60,2241
12/23/2017 0:39,3/2/2018 12:43,29,Ashadullah Shawon | LinkedIn,Link,55,2194
3/6/2018 19:49,3/6/2018 19:49,2,How to install Keras with a TensorFlow backend for deep learning | In Machines We Trust,Temporary Redirect,55,2034
3/8/2018 20:02,3/8/2018 20:02,2,Competitions | Kaggle,Link,35,1947
5/31/2017 22:53,2/18/2018 2:46,10,Free Learning - Free Programming eBooks | PACKT Books,Link,51,1918
