241,0,276,34,solver
212,0,174,24,solver
240,0,112,12,solver
283,0,177,45,solver
304,0,244,11,solver
390,0,281,42,solver
211,0,109,41,solver
356,0,183,3,solver
492,0,221,21,solver
254,0,120,45,solver
229,0,118,21,solver
300,0,160,12,solver
282,0,269,35,solver
462,0,261,11,solver
218,0,283,23,solver
349,0,166,11,solver
460,0,134,47,solver
453,0,200,7,solver
371,0,296,23,solver
309,0,293,28,solver
476,0,120,40,solver
236,0,187,6,solver
210,0,198,14,solver
273,0,210,5,solver
438,0,196,20,solver
500,0,232,1,solver
212,0,231,29,solver
482,0,265,4,solver
294,0,282,16,solver
352,0,162,8,solver
288,0,178,26,solver
386,0,210,38,solver
365,0,172,29,solver
487,0,109,15,solver
324,0,211,4,solver
498,0,208,6,solver
268,0,175,21,solver
350,0,291,22,solver
450,0,100,27,solver
422,0,172,12,solver
407,0,124,11,solver
475,0,144,17,solver
377,0,197,31,solver
212,0,114,0,solver
285,0,116,16,solver
319,0,253,41,solver
448,0,181,7,solver
447,0,115,33,solver
396,0,165,9,solver
326,0,201,38,solver
301,0,122,6,solver
287,0,232,18,solver
498,0,129,12,solver
350,0,224,9,solver
433,0,135,48,solver
362,0,158,41,solver
491,0,129,41,solver
334,0,228,20,solver
281,0,202,48,solver
222,0,271,34,solver
354,0,211,3,solver
393,0,187,38,solver
478,0,270,27,solver
366,0,210,43,solver
467,0,272,7,solver
213,0,139,17,solver
438,0,167,9,solver
291,0,141,1,solver
332,0,123,19,solver
452,0,185,3,solver
404,0,254,44,solver
301,0,215,2,solver
385,0,284,43,solver
396,0,272,37,solver
317,0,156,48,solver
417,0,292,18,solver
312,0,198,48,solver
431,0,192,48,solver
216,0,122,22,solver
344,0,146,42,solver
218,0,159,40,solver
359,0,219,41,solver
450,0,275,6,solver
273,0,222,34,solver
392,0,256,28,solver
271,0,131,36,solver
413,0,192,19,solver
476,0,226,16,solver
409,0,139,22,solver
490,0,272,49,solver
446,0,235,42,solver
208,0,150,12,solver
392,0,198,3,solver
280,0,273,38,solver
357,0,241,5,solver
369,0,278,35,solver
302,0,134,38,solver
322,0,175,7,solver
400,0,279,19,solver
247,0,294,39,solver
310,0,274,18,solver
297,0,219,5,solver
323,0,167,41,solver
381,0,296,10,solver
246,0,235,39,solver
282,0,299,46,solver
332,0,167,49,solver
480,0,268,49,solver
393,0,180,47,solver
449,0,246,5,solver
307,0,101,5,solver
349,0,124,1,solver
212,0,269,36,solver
423,0,192,5,solver
382,0,254,12,solver
473,0,123,45,solver
299,0,118,21,solver
494,0,229,32,solver
380,0,224,46,solver
255,0,194,11,solver
317,0,249,23,solver
432,0,285,9,solver
305,0,208,3,solver
358,0,124,10,solver
430,0,247,36,solver
386,0,152,22,solver
261,0,249,37,solver
473,0,169,41,solver
469,0,107,27,solver
400,0,168,24,solver
337,0,246,22,solver
493,0,275,20,solver
463,0,257,18,solver
250,0,185,20,solver
458,0,155,42,solver
339,0,187,30,solver
216,0,290,2,solver
386,0,276,25,solver
238,0,215,23,solver
373,0,297,31,solver
200,0,196,5,solver
402,0,112,31,solver
264,0,242,22,solver
483,0,300,0,solver
424,0,219,13,solver
472,0,300,20,solver
435,0,180,11,solver
375,0,102,17,solver
261,0,188,40,solver
349,0,182,24,solver
226,0,215,26,solver
222,0,246,2,solver
414,0,255,28,solver
